SYM_ROOT,DATE,pre_market_volume,post_market_volume,DAY_OF_WEEK,OPEN,HIGH,LOW,CLOSE,VOLUME,pre_market_price_mean,post_market_price_mean,pre_market_price_std,post_market_price_std,pre_market_price_min,post_market_price_min,pre_market_price_max,post_market_price_max
AAPL,2019-04-03,1158536.0,4803452.0,Wednesday,46.29180253901243,47.07031926994019,46.26784671600264,46.79484558105469,93087200.0,195.33619960771492,193.53801500518136,0.0698995476087093,0.4173127374875459,194.02,192.89,195.59,195.19
AAPL,2019-04-04,730299.0,3653102.0,Thursday,46.66070552108108,47.03918492301481,46.26545996448646,46.87629699707031,76457200.0,195.6509006460876,195.04201638474296,0.1180640110573217,0.2517913720918825,190.21,194.57,195.77,195.88
AAPL,2019-04-05,619337.0,4074006.0,Friday,47.05834807377388,47.21405363526623,46.933784355609184,47.19009780883789,74106400.0,196.99296192560172,196.33797790983604,0.0341926386267149,0.1789335098374546,196.82,195.69,197.09,196.82
AAPL,2019-04-08,786067.0,3359523.0,Monday,47.05115957437345,47.963820223892334,47.03199564527109,47.93268203735352,103526800.0,200.17905366132723,196.55573759913483,0.166777491908733,0.2303398988226477,197.0,196.12,200.66,197.49
AAPL,2019-04-09,1716906.0,4412811.0,Tuesday,47.98539088647999,48.59143609378865,47.72428550196982,47.78896331787109,143072800.0,199.47933595643772,200.4236242926156,0.0812496518936615,0.4499705033624354,199.1,199.66,201.98,201.55
AAPL,2019-04-10,1367181.0,2210032.0,Wednesday,47.59252055034829,48.08598343518573,47.47274875070863,48.05723571777344,86781200.0,200.58508772344013,198.64310205256945,0.1035349027986327,0.4013809240354925,199.488,197.11,200.95,199.5
AAPL,2019-04-11,829134.0,4429810.0,Thursday,48.112334905796246,48.14826498477151,47.53503393595788,47.65719985961914,83603200.0,198.8574669283612,200.72912314303252,0.0594223543938523,0.2522562197038918,198.76,200.16,200.0459,201.29
AAPL,2019-04-12,1041406.0,4326207.0,Friday,47.71709228965716,47.942263895762856,47.0008591463609,47.63804244995117,111042800.0,198.7664202041429,199.40957364278503,0.0750856281364417,0.3188287812663173,198.3162,198.0,200.14,200.33
AAPL,2019-04-15,890951.0,4819083.0,Monday,47.56858319976226,47.87280468904398,47.43204155117449,47.72428512573242,70146400.0,199.1206705486044,198.78489431578947,0.0733687598054592,0.2807467020478753,198.655,198.1,199.35,199.43
AAPL,2019-04-16,1145822.0,2777628.0,Tuesday,47.77937452717208,48.236900087149166,47.5637830649228,47.72906875610352,102785600.0,199.32067918827508,199.4635731543624,0.1943510618182062,0.2897446756080119,198.64,199.07,199.9493,200.1
AAPL,2019-04-17,1950943.0,3244632.0,Wednesday,47.79853248021393,48.71838276188199,47.57575866736756,48.65849685668945,115627200.0,203.08725952007177,199.42697015016856,1.2621529067789323,0.5334740527065794,147.93,198.6,203.4,200.85
AAPL,2019-04-18,4435856.0,6471153.0,Thursday,48.65610278532575,48.90283244109063,48.51237879500945,48.83336639404297,96783200.0,203.8846866716307,203.0959232041885,0.0550785856140432,0.3292274515103772,203.2057,201.8,203.96,203.91
AAPL,2019-04-22,885237.0,8925809.0,Monday,48.58664246352967,49.0920797475976,48.469264750732734,48.99386596679688,77758000.0,204.5327262049154,202.73603533882203,0.4926772925010388,0.2731445909922798,188.71,202.33,204.86,203.91
AAPL,2019-04-23,997032.0,6205651.0,Tuesday,48.96990312097358,49.7651897366991,48.84294528794384,49.70051193237305,93292000.0,207.4191585203153,204.1751632653061,0.0707050685803295,0.2629876127996527,206.5002,202.46,207.66,205.05
AAPL,2019-04-24,1038696.0,4117479.0,Wednesday,49.67177121900122,49.94005893632176,49.59751327261044,49.62386322021485,70162400.0,207.54159062993904,207.57305518345956,0.3684832476684185,0.2417226505363954,207.05,207.22,208.45,208.18
AAPL,2019-04-25,1062444.0,3832146.0,Thursday,49.54480867165891,49.76758248967233,49.13518746237708,49.17351531982422,74172800.0,205.10606566604127,207.28602998438316,0.2616901128703625,0.3421819732975316,200.73,206.62,206.0891,207.97
AAPL,2019-04-26,1387884.0,4001546.0,Friday,49.08249429658827,49.10645012456117,48.41656321657909,48.93877029418945,74596400.0,204.2011113907629,203.83433317243228,0.1179401731194491,0.8186868394561712,204.03,202.12,204.5,205.28
AAPL,2019-04-29,1084552.0,3760627.0,Monday,48.96271379399391,49.33879902670251,48.83336184923314,49.01301956176758,88818800.0,204.0565148038733,204.30414281200632,0.5625559440195128,0.1965738139195353,203.0,203.86,205.5,204.84
AAPL,2019-04-30,1321619.0,13002876.0,Tuesday,48.6417267862296,48.72317073961693,47.695530220323526,48.069217681884766,186139600.0,209.17403755937275,203.04488128690696,3.542226936510755,0.3945972727634143,199.1734,202.4,213.0,204.61
AAPL,2019-05-01,4314722.0,7939769.0,Wednesday,50.27541841873172,51.57613857993993,50.11971286557231,50.42872619628906,259309200.0,210.62016791808875,210.75011201470588,0.2594276075780485,0.8055829658885754,209.82,200.67,214.5075,212.75
AAPL,2019-05-02,1973355.0,3909329.0,Thursday,50.26583730415948,50.93895435796423,49.856219720417,50.10055160522461,127985200.0,209.145324945864,210.11953692864188,0.1533497336245857,0.403398523386505,201.38,209.5,214.1559,211.0
